sample	TN	PATIENT	cancer	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-L5-A4OF-01	tumor	TCGA-L5-A4OF	ESCA	8.96	7.62	7.06	10.72	10.31	10.88	9.87	9.62	12.59	7.47
TCGA-L5-A4OF-11	normal	TCGA-L5-A4OF	ESCA	10.3	7.4	6.67	11.99	10.26	12.24	10.66	9.3	10.39	5.02
TCGA-L5-A4OG-01	tumor	TCGA-L5-A4OG	ESCA	9.78	6.76	6.17	11.54	10.92	10.63	9.5	9.26	11.87	7.73
TCGA-L5-A4OG-11	normal	TCGA-L5-A4OG	ESCA	9.77	7.54	6.98	11.92	10.42	11.87	10.6	9.14	10.54	5.13
TCGA-L5-A4OJ-01	tumor	TCGA-L5-A4OJ	ESCA	9.75	7.13	6.86	11.52	10.34	10.85	9.26	9.33	11.57	8.54
TCGA-L5-A4OJ-11	normal	TCGA-L5-A4OJ	ESCA	9.72	8.08	7.39	11.92	10.32	12.27	10.8	9.14	10.41	6.31
TCGA-L5-A4OM-01	tumor	TCGA-L5-A4OM	ESCA	8.14	7.39	6.96	11.35	9.4	10.66	8.73	10.04	11.08	0.99
TCGA-L5-A4OM-11	normal	TCGA-L5-A4OM	ESCA	9.48	7.25	6.74	11.03	9.99	10.8	9.59	9.74	10.33	5.14
TCGA-L5-A4OO-01	tumor	TCGA-L5-A4OO	ESCA	8.79	6.51	7.26	10.84	9.09	10.7	9.51	9.21	11.4	8.72
TCGA-L5-A4OO-11	normal	TCGA-L5-A4OO	ESCA	9.37	7.3	7.01	11.45	9.76	11.25	10.05	9.44	10.89	4.06
TCGA-L5-A4OQ-01	tumor	TCGA-L5-A4OQ	ESCA	11.2	6.21	6.64	10.59	10.22	11.69	9.76	9.19	13.27	10.09
TCGA-L5-A4OQ-11	normal	TCGA-L5-A4OQ	ESCA	8.59	6.88	6.81	11	9.71	10.49	10.23	9.61	11.25	2.73
TCGA-L5-A4OR-01	tumor	TCGA-L5-A4OR	ESCA	9.08	6.88	6.69	11.49	10.32	11.52	10.18	9.62	10.89	8.38
TCGA-L5-A4OR-11	normal	TCGA-L5-A4OR	ESCA	10.08	7.83	6.96	12.05	10.32	12.53	11.14	8.87	9.85	5.58
TCGA-CV-6933-01	tumor	TCGA-CV-6933	HNSC	8.91	6.39	6.22	11.44	9.36	9.87	9.58	9.22	10.73	10.02
TCGA-CV-6933-11	normal	TCGA-CV-6933	HNSC	9.07	7.73	7.48	11.28	10.54	12.1	10.61	8.57	9.95	4.01
TCGA-CV-6934-01	tumor	TCGA-CV-6934	HNSC	8.62	6.23	6.27	10.09	9.73	10.36	9.77	9.07	11.75	9.53
TCGA-CV-6934-11	normal	TCGA-CV-6934	HNSC	9.01	7.08	6.48	10.67	10.01	10.28	9.98	10.53	9	6.47
TCGA-CV-6935-01	tumor	TCGA-CV-6935	HNSC	8.35	7.08	5.74	11.26	9.48	10.57	9.4	8.65	11.99	10.97
TCGA-CV-6935-11	normal	TCGA-CV-6935	HNSC	9.13	7.92	5.7	11.02	10.45	10.56	10.51	10.71	9.52	7.37
TCGA-CV-6936-01	tumor	TCGA-CV-6936	HNSC	7.86	7.12	6.11	11.65	9.05	10.84	9.27	9.58	10.07	2.48
TCGA-CV-6936-11	normal	TCGA-CV-6936	HNSC	8.93	7.37	5.47	10.92	10	10.27	10.72	10.84	9.53	7.88
TCGA-CV-6938-01	tumor	TCGA-CV-6938	HNSC	8.91	7.67	6.16	10.64	10	10.64	9.98	9.52	10.73	9.76
TCGA-CV-6938-11	normal	TCGA-CV-6938	HNSC	8.77	8	6.69	11.14	10.09	10.9	10.58	9.85	10.33	5.27
TCGA-CV-6939-01	tumor	TCGA-CV-6939	HNSC	8.64	7.37	6.13	10.92	9.69	10.18	9.58	9.84	10.6	10.88
TCGA-CV-6939-11	normal	TCGA-CV-6939	HNSC	9.26	8.55	7.06	12.53	11.68	12.99	11.61	8.76	9.92	2.42
TCGA-CV-6943-01	tumor	TCGA-CV-6943	HNSC	8.64	6.9	5.79	9.9	9.48	9.89	9.76	9.92	10.59	10.29
TCGA-CV-6943-11	normal	TCGA-CV-6943	HNSC	8.9	7.67	6.4	11.11	10.67	10.49	10.21	10.9	10.22	6.39
TCGA-CV-6955-01	tumor	TCGA-CV-6955	HNSC	9.19	7.51	6.01	11.26	10.33	10.05	10	10.63	8.82	3.48
TCGA-CV-6955-11	normal	TCGA-CV-6955	HNSC	8.74	7.24	6.57	11.05	10.18	10.2	9.94	10.76	10.15	5.01
TCGA-CV-6956-01	tumor	TCGA-CV-6956	HNSC	8.17	6.22	6.49	10.3	10.04	10.75	9.03	9.57	11.19	7.15
TCGA-CV-6956-11	normal	TCGA-CV-6956	HNSC	9.2	7.76	6.42	11.09	10.55	11.3	10.46	10.62	10	6.96
TCGA-CV-6959-01	tumor	TCGA-CV-6959	HNSC	8.41	6.74	5.44	10.49	9.53	9.9	9.4	9.73	10.69	8.57
TCGA-CV-6959-11	normal	TCGA-CV-6959	HNSC	9	8.23	6.69	11.16	10.48	11.19	10.72	10.33	10.22	4.91
TCGA-CV-6960-01	tumor	TCGA-CV-6960	HNSC	9.58	7.24	7.18	9.61	10.57	10.57	9.24	9.3	11.38	11.34
TCGA-CV-6960-11	normal	TCGA-CV-6960	HNSC	9.16	8.18	5.69	10.77	10.71	10.57	10.34	10.65	10.46	6.8
TCGA-CV-6961-01	tumor	TCGA-CV-6961	HNSC	8.45	6.42	5.52	9.82	9.43	10.52	9.7	9.24	10.65	11.35
TCGA-CV-6961-11	normal	TCGA-CV-6961	HNSC	9.17	7.83	6.1	10.76	10.48	10.34	10.44	10.69	10.11	7.61
TCGA-CV-6962-01	tumor	TCGA-CV-6962	HNSC	9.08	6.79	7.3	11.92	10.1	11.46	10.09	8.34	9.95	8.62
TCGA-CV-6962-11	normal	TCGA-CV-6962	HNSC	8.72	7.76	6.02	10.78	10.09	10.56	10.16	10.5	8.87	7.56
TCGA-CV-7091-01	tumor	TCGA-CV-7091	HNSC	8.7	6.86	5.77	10.28	9.93	10.54	9.78	10	11.98	10.96
TCGA-CV-7091-11	normal	TCGA-CV-7091	HNSC	9.42	8.77	7.06	12.51	11.69	12.66	11.82	8.9	10.37	2.7
TCGA-CV-7097-01	tumor	TCGA-CV-7097	HNSC	7.97	7.11	5.34	11.08	9.91	10.96	10.2	9.64	11.49	2.47
TCGA-CV-7097-11	normal	TCGA-CV-7097	HNSC	9.31	8.08	6.88	11.64	10.62	11.41	11.15	8.68	10.26	5.33
TCGA-CV-7101-01	tumor	TCGA-CV-7101	HNSC	9.1	6.6	6.42	11.22	10.14	9.98	9.73	9.5	10.5	7.94
TCGA-CV-7101-11	normal	TCGA-CV-7101	HNSC	9.24	7.53	6.16	11.35	10.62	10.7	10.52	10.9	9	5.56
TCGA-CV-7103-01	tumor	TCGA-CV-7103	HNSC	8.95	6.08	6.51	10.32	9.98	9.92	9.75	9.18	10.83	10.77
TCGA-CV-7103-11	normal	TCGA-CV-7103	HNSC	8.96	7.99	6.71	10.88	10.46	10.61	10.26	10.41	9.42	7.6
TCGA-CV-7177-01	tumor	TCGA-CV-7177	HNSC	8.04	7.33	5.6	11.45	9.44	10.11	8.98	9.42	10.64	3.92
TCGA-CV-7177-11	normal	TCGA-CV-7177	HNSC	8.84	7.51	6.12	11.11	10.4	10.41	10.24	10.75	9.36	7.35
TCGA-CV-7178-01	tumor	TCGA-CV-7178	HNSC	8.53	8.29	6.47	11.5	10.21	10.3	9.18	9.06	10.26	10.26
TCGA-CV-7178-11	normal	TCGA-CV-7178	HNSC	9.3	8.3	6.84	11.63	10.43	12.1	11.18	9.2	9.41	5.71
TCGA-CV-7183-01	tumor	TCGA-CV-7183	HNSC	8.23	6.81	5.2	10.75	10.17	10.21	10.28	10.27	10.55	6.69
TCGA-CV-7183-11	normal	TCGA-CV-7183	HNSC	9.65	8.75	6.99	11.54	10.74	10.18	11.33	9.84	9.43	6.66
TCGA-CV-7235-01	tumor	TCGA-CV-7235	HNSC	8.39	6.41	5.16	10.81	9.43	9.69	9.27	9.46	10.71	4.86
TCGA-CV-7235-11	normal	TCGA-CV-7235	HNSC	8.83	7.47	6.6	11.05	10.12	10.63	10.4	9.13	9.59	4.85
TCGA-CV-7238-01	tumor	TCGA-CV-7238	HNSC	8.86	6.35	5.97	10.71	9.76	10.42	9.26	9.2	11.59	5.29
TCGA-CV-7238-11	normal	TCGA-CV-7238	HNSC	8.86	7.72	6.58	11.46	10.73	11.1	10.52	10.03	10.16	4.97
TCGA-CV-7242-01	tumor	TCGA-CV-7242	HNSC	9.04	6.4	6.44	10.44	9.76	10.29	9.5	9.7	10.15	11.85
TCGA-CV-7242-11	normal	TCGA-CV-7242	HNSC	9.38	7.48	6.62	11.05	10.54	10.8	10.65	10.32	9.88	7.13
TCGA-CV-7245-01	tumor	TCGA-CV-7245	HNSC	7.99	6.48	5.43	10.3	10.74	9.96	9.11	9.55	11.71	10.21
TCGA-CV-7245-11	normal	TCGA-CV-7245	HNSC	8.8	7.76	6.77	11.57	11.04	11.58	11.02	9.6	10.3	4.96
TCGA-CV-7250-01	tumor	TCGA-CV-7250	HNSC	9.29	6.89	6.33	10.53	9.43	10.16	9.89	9.4	11.62	10.29
TCGA-CV-7250-11	normal	TCGA-CV-7250	HNSC	9.5	8.18	6.38	11.7	10.57	11.36	10.98	10.15	9.74	7.97
TCGA-CV-7252-01	tumor	TCGA-CV-7252	HNSC	8.68	7.33	5.92	10.55	9.93	10.54	9.06	9.38	11.53	9.15
TCGA-CV-7252-11	normal	TCGA-CV-7252	HNSC	8.99	7.62	6.18	11.01	10.64	10.84	10.09	10.85	9.85	4.45
TCGA-CV-7255-01	tumor	TCGA-CV-7255	HNSC	8.44	7.58	5.53	10.58	10.33	9.7	9.52	10.01	10.96	8.4
TCGA-CV-7255-11	normal	TCGA-CV-7255	HNSC	9.03	7.39	6.59	11.07	10.44	10.89	10.59	10.14	10.09	7.38
TCGA-CV-7261-01	tumor	TCGA-CV-7261	HNSC	9.22	6.15	5.82	11.19	10.15	10.19	9.09	8.68	10.97	2.58
TCGA-CV-7261-11	normal	TCGA-CV-7261	HNSC	8.72	7.8	5.55	11.27	10.62	10.62	10.36	10.98	10.06	5.57
TCGA-CV-7406-01	tumor	TCGA-CV-7406	HNSC	8.44	6.89	5.62	11.01	9.41	10.16	10.31	9.51	8.91	12.33
TCGA-CV-7406-11	normal	TCGA-CV-7406	HNSC	9.26	8.4	6.84	12.37	11.36	12.49	11.8	9.91	10.69	7.02
TCGA-CV-7416-01	tumor	TCGA-CV-7416	HNSC	9.07	7.27	5.54	11.39	10.81	9.95	9.58	9.61	10.7	10.91
TCGA-CV-7416-11	normal	TCGA-CV-7416	HNSC	9.09	7.3	5.56	10.96	10.65	10.84	10.11	10.38	10.51	7.64
TCGA-CV-7423-01	tumor	TCGA-CV-7423	HNSC	7.64	6.53	5.46	10.83	9.3	10.4	9.02	10.69	11.73	6.58
TCGA-CV-7423-11	normal	TCGA-CV-7423	HNSC	9.05	7.93	6.84	10.68	10.22	10.76	10.61	10.1	9.43	7.91
TCGA-CV-7424-01	tumor	TCGA-CV-7424	HNSC	8.69	7.65	6.77	11.14	9.35	10.64	9.85	8.31	10.28	9.59
TCGA-CV-7424-11	normal	TCGA-CV-7424	HNSC	8.84	7.56	6.34	11.19	10.27	10.54	10.13	10.65	9.72	5.63
TCGA-CV-7425-01	tumor	TCGA-CV-7425	HNSC	8.61	7.53	5.39	10.98	10.3	10.3	9.94	10.6	10.37	2.26
TCGA-CV-7425-11	normal	TCGA-CV-7425	HNSC	8.56	7.55	6.13	10.69	10.17	10.3	10.36	10.21	10.25	1.83
TCGA-CV-7432-01	tumor	TCGA-CV-7432	HNSC	7.55	7.06	6.42	10.61	9.15	10.03	9.15	9.68	10.14	11.16
TCGA-CV-7432-11	normal	TCGA-CV-7432	HNSC	8.79	8.05	7.05	11.14	9.96	11.34	10.48	8.8	9.25	5.78
TCGA-CV-7434-01	tumor	TCGA-CV-7434	HNSC	8.32	7.05	5.51	10.51	10.21	10.32	8.68	9.97	10.36	2.76
TCGA-CV-7434-11	normal	TCGA-CV-7434	HNSC	9.18	7.55	7.03	11.63	10.57	11.06	10.55	9.21	9.77	6.68
TCGA-CV-7437-01	tumor	TCGA-CV-7437	HNSC	8.86	7.75	5.87	10.72	9.96	10.77	9.8	9.28	10.64	11.11
TCGA-CV-7437-11	normal	TCGA-CV-7437	HNSC	9.08	7.79	6.52	11.18	10.53	10.94	10.71	10.42	9.35	7.44
TCGA-CV-7438-01	tumor	TCGA-CV-7438	HNSC	8.44	6.05	6.16	10.17	10.02	9.93	9.95	9.52	11.79	3.23
TCGA-CV-7438-11	normal	TCGA-CV-7438	HNSC	8.94	7.65	6.37	10.92	10.49	10.71	10.19	10.51	10.12	7.01
TCGA-CV-7440-01	tumor	TCGA-CV-7440	HNSC	9.42	6.28	6.83	10.89	10.96	10.52	9.32	9.66	13.25	2.59
TCGA-CV-7440-11	normal	TCGA-CV-7440	HNSC	9.2	7.13	6.37	11.47	10.44	10.69	10.56	10.23	10.19	8.23
TCGA-H7-A6C4-01	tumor	TCGA-H7-A6C4	HNSC	8.61	7.06	5.93	10.8	9.48	10.59	9.36	10.02	11.42	8.4
TCGA-H7-A6C4-11	normal	TCGA-H7-A6C4	HNSC	9.49	8.82	6.82	12.24	11.1	12.42	11.65	9.47	9.86	5.35
TCGA-HD-8635-01	tumor	TCGA-HD-8635	HNSC	8.73	7.38	5.82	10.46	10.67	10.81	9.44	9.93	11.12	8.27
TCGA-HD-8635-11	normal	TCGA-HD-8635	HNSC	8.91	8	5.88	11.17	10.82	10.86	10.23	10.78	10.47	6.41
TCGA-HD-A6HZ-01	tumor	TCGA-HD-A6HZ	HNSC	8.47	7.12	6.58	10.98	9.79	11.15	9.96	9.18	11.42	9.84
TCGA-HD-A6HZ-11	normal	TCGA-HD-A6HZ	HNSC	8.97	8.55	6.38	10.3	9.15	10.76	10.14	8.79	8.04	7.08
TCGA-HD-A6I0-01	tumor	TCGA-HD-A6I0	HNSC	9.05	7.48	5.92	10.38	9.12	10.76	10.26	8.74	9.38	3.29
TCGA-HD-A6I0-11	normal	TCGA-HD-A6I0	HNSC	9.09	6.91	6.09	10.41	9.05	10.65	10.47	9.14	9.84	2.49
TCGA-WA-A7GZ-01	tumor	TCGA-WA-A7GZ	HNSC	8.85	7.89	6.25	11.14	9.91	11.19	9.14	9.18	10.23	3.85
TCGA-WA-A7GZ-11	normal	TCGA-WA-A7GZ	HNSC	9.02	8.75	6.95	12.18	11.05	12.45	11.31	10.03	9.7	5.28
TCGA-KL-8324-01	tumor	TCGA-KL-8324	KICH	9.87	7.96	5.66	12.22	10.57	11.82	10.22	8.46	9.61	2.92
TCGA-KL-8324-11	normal	TCGA-KL-8324	KICH	10.2	8.05	7.3	11.76	10.54	11.59	11.07	8.78	13	2.26
TCGA-KL-8326-01	tumor	TCGA-KL-8326	KICH	9.8	8.27	7.06	12.5	10.64	12.76	11.93	7.23	11.26	5.09
TCGA-KL-8326-11	normal	TCGA-KL-8326	KICH	10.53	8.18	7.25	11.77	10.52	11.84	11.11	8.75	13.09	2.74
TCGA-KL-8329-01	tumor	TCGA-KL-8329	KICH	10.16	8.42	6.01	12.46	11.55	11.98	11.15	8.31	11.32	6.16
TCGA-KL-8329-11	normal	TCGA-KL-8329	KICH	10.42	7.88	6.68	11.82	10.56	11.63	11.01	8.95	13.3	2.47
TCGA-KL-8332-01	tumor	TCGA-KL-8332	KICH	10.33	7.45	5.62	11.43	11.31	12.25	11.25	8.77	11.27	4.95
TCGA-KL-8332-11	normal	TCGA-KL-8332	KICH	11.01	9.49	7.61	12.16	10.8	11.52	11.73	8.04	13.43	0.81
TCGA-KL-8336-01	tumor	TCGA-KL-8336	KICH	10.59	8.5	6.41	13.22	12.4	12.91	12.04	8.18	11.26	8
TCGA-KL-8336-11	normal	TCGA-KL-8336	KICH	9.19	6.78	6.53	11.07	10.06	11.28	10.52	9.16	12.39	5.8
TCGA-KL-8339-01	tumor	TCGA-KL-8339	KICH	10.63	8.83	6.89	12.55	12.66	12.73	11.71	7.95	10.72	8.85
TCGA-KL-8339-11	normal	TCGA-KL-8339	KICH	10.64	8.87	7.54	12.18	11.04	11.94	11.45	8.25	13.38	2.77
TCGA-KN-8419-01	tumor	TCGA-KN-8419	KICH	10.52	9.1	6.14	14.08	12.47	14.04	11.27	8.13	12.6	7.94
TCGA-KN-8419-11	normal	TCGA-KN-8419	KICH	10.15	7.72	7.73	11.69	10.76	12.29	10.78	9.08	12.31	1.31
TCGA-KN-8422-01	tumor	TCGA-KN-8422	KICH	10.38	8.65	6.07	12.5	11.57	12.61	11.49	7.88	10.45	5.8
TCGA-KN-8422-11	normal	TCGA-KN-8422	KICH	9.82	8.01	6.81	11.64	10.81	11.86	10.99	8.99	12.08	1.33
TCGA-KN-8423-01	tumor	TCGA-KN-8423	KICH	10.84	9	6.44	13.19	12.25	12.79	10.81	8.89	11.51	7.07
TCGA-KN-8423-11	normal	TCGA-KN-8423	KICH	9.68	7.98	7.48	11.14	10.44	11.33	10.81	8.7	13.86	1.79
TCGA-KN-8424-01	tumor	TCGA-KN-8424	KICH	10.19	7.8	4.72	12.37	11.77	11.87	11.09	8.1	11.4	6.16
TCGA-KN-8424-11	normal	TCGA-KN-8424	KICH	10.09	8.02	6.68	11.65	10.7	12.19	11.59	8.44	12.02	1.06
TCGA-KN-8425-01	tumor	TCGA-KN-8425	KICH	10.23	8.63	5.46	12.91	11.76	12.46	10.46	8.51	11.62	8.82
TCGA-KN-8425-11	normal	TCGA-KN-8425	KICH	9.92	8.34	6.84	12.09	11.2	12.58	11.5	8.42	11.61	1.08
TCGA-KN-8426-01	tumor	TCGA-KN-8426	KICH	10.41	8.93	6.2	13.14	11.6	12.7	10.29	8.27	10.46	8.95
TCGA-KN-8426-11	normal	TCGA-KN-8426	KICH	9.63	7.79	7.4	11.84	11.03	12.12	11.11	9.54	12.52	1.74
TCGA-KN-8427-01	tumor	TCGA-KN-8427	KICH	7.8	8.59	6.59	10.52	9.64	10.06	9.55	8.89	10.58	9
TCGA-KN-8427-11	normal	TCGA-KN-8427	KICH	9.73	7.8	7.2	11.77	10.52	12.1	10.99	9.41	12.35	1.57
TCGA-KN-8428-01	tumor	TCGA-KN-8428	KICH	9.63	8.32	5.4	12.51	11.4	12.71	11.22	8.7	10.52	9.93
TCGA-KN-8428-11	normal	TCGA-KN-8428	KICH	10.22	7.94	6.68	11.73	10.56	11.68	11	8.74	13.02	3.81
TCGA-KN-8429-01	tumor	TCGA-KN-8429	KICH	10.05	8.81	6.04	12.14	11.82	11.65	11.22	8.46	10.78	6.46
TCGA-KN-8429-11	normal	TCGA-KN-8429	KICH	10.19	7.83	7.6	11.44	10.36	11.9	11.07	8.65	12.65	2.37
TCGA-KN-8430-01	tumor	TCGA-KN-8430	KICH	10.48	8.96	6.31	12.93	12.16	12.51	11.85	8.5	10.9	6.9
TCGA-KN-8430-11	normal	TCGA-KN-8430	KICH	10.04	7.88	7.42	11.88	11.05	12.57	11.28	8.99	12.9	2.76
TCGA-KN-8431-01	tumor	TCGA-KN-8431	KICH	10.45	8.35	5.97	12.77	11.71	12.45	11.75	8.35	10.29	6.42
TCGA-KN-8431-11	normal	TCGA-KN-8431	KICH	10.01	7.94	7.02	11.79	10.98	12.28	11.33	8.27	12.97	0
TCGA-KN-8432-01	tumor	TCGA-KN-8432	KICH	9.96	8.41	6.65	12.51	12.02	12.55	10.79	8.34	12.23	6.71
TCGA-KN-8432-11	normal	TCGA-KN-8432	KICH	10.49	8.76	8.51	11.62	10.68	11.84	11.57	7.92	13.03	2.24
TCGA-KN-8433-01	tumor	TCGA-KN-8433	KICH	10.14	8.5	5.04	12.88	10.76	12.77	10.27	8.07	10.91	8.88
TCGA-KN-8433-11	normal	TCGA-KN-8433	KICH	10.31	8.31	6.93	12.04	10.69	11.97	10.99	9.11	12.78	0.8
TCGA-KN-8434-01	tumor	TCGA-KN-8434	KICH	9.75	7.67	6.04	12.03	10.82	11.87	10.71	8.17	11.36	8.92
TCGA-KN-8434-11	normal	TCGA-KN-8434	KICH	10.39	8.51	7.32	11.91	10.64	11.88	11.09	8.71	13.13	1.62
TCGA-KN-8435-01	tumor	TCGA-KN-8435	KICH	9.86	8.82	6.24	12.24	11.78	11.85	11.38	8.47	11.45	4.11
TCGA-KN-8435-11	normal	TCGA-KN-8435	KICH	9.94	7.99	6.91	11.78	10.61	11.6	10.93	9.05	13.37	2.24
TCGA-KN-8436-01	tumor	TCGA-KN-8436	KICH	9.03	9.13	6.65	13.03	11.16	13.31	10.42	7.83	11.94	5.98
TCGA-KN-8436-11	normal	TCGA-KN-8436	KICH	9.7	7.74	7.06	11.61	10.72	12.28	10.96	8.96	13.13	1.32
TCGA-KN-8437-01	tumor	TCGA-KN-8437	KICH	11.71	8.35	7.11	12.48	11.57	13.04	11.27	8.96	13.28	2.91
TCGA-KN-8437-11	normal	TCGA-KN-8437	KICH	8.82	7.24	7.22	10.46	9.5	10.6	10.19	9.5	11.71	4.49
TCGA-KO-8403-01	tumor	TCGA-KO-8403	KICH	10.27	8.5	6.72	12.11	11.32	12.58	11.29	7.73	12.14	7.54
TCGA-KO-8403-11	normal	TCGA-KO-8403	KICH	9.42	7.88	7.14	11.59	10.77	12.1	10.93	9.02	12.3	2.43
TCGA-KO-8415-01	tumor	TCGA-KO-8415	KICH	10.14	8.35	5.63	12.61	11.36	12.95	10.4	7.54	11.07	6.66
TCGA-KO-8415-11	normal	TCGA-KO-8415	KICH	10.26	8.23	7.45	11.88	10.9	12	11.42	8.51	12.91	2.36
TCGA-A3-3358-01	tumor	TCGA-A3-3358	KIRC	9.01	8.26	7.26	11.16	10.25	10.26	9.62	8.49	12.06	6.32
TCGA-A3-3358-11	normal	TCGA-A3-3358	KIRC	10.51	8.83	7.62	11.83	10.58	11.49	11.27	8.36	13.67	1.36
TCGA-A3-3387-01	tumor	TCGA-A3-3387	KIRC	8.89	7.75	7.02	10.76	9.9	9.99	9.54	9.11	12.28	7.55
TCGA-A3-3387-11	normal	TCGA-A3-3387	KIRC	10.88	8.33	6.88	11.92	10.71	11.54	11.07	8.85	13.76	0
TCGA-B0-4700-01	tumor	TCGA-B0-4700	KIRC	9.42	7.18	6.47	10.5	9.54	10.41	10.12	8.33	11.25	7.5
TCGA-B0-4700-11	normal	TCGA-B0-4700	KIRC	10.64	7.93	6.98	11.82	10.7	11.76	11.05	9.13	13.51	1.12
TCGA-B0-4712-01	tumor	TCGA-B0-4712	KIRC	9.77	6.99	7.02	10.67	9.77	10.69	10.28	8.57	11.44	8.79
TCGA-B0-4712-11	normal	TCGA-B0-4712	KIRC	10.16	7.79	7.97	12.18	10.88	12.45	11.25	9.37	12.91	1.91
TCGA-B0-5402-01	tumor	TCGA-B0-5402	KIRC	8.44	7.9	6.89	10.93	10.7	10.64	9.65	9.12	12.24	6.16
TCGA-B0-5402-11	normal	TCGA-B0-5402	KIRC	9.84	7.41	6.89	11.6	10.48	11.7	11.05	9.19	13.12	2.7
TCGA-B0-5690-01	tumor	TCGA-B0-5690	KIRC	8.83	7.13	6.42	10.21	9.71	10.15	9.95	9.04	11.73	7.72
TCGA-B0-5690-11	normal	TCGA-B0-5690	KIRC	10.22	8.11	6.48	12.03	10.8	11.93	11.12	9.25	13.12	0
TCGA-B0-5691-01	tumor	TCGA-B0-5691	KIRC	9.15	7.58	6.66	10.75	10	10.45	10.25	9.16	12.26	5.44
TCGA-B0-5691-11	normal	TCGA-B0-5691	KIRC	10.3	7.98	7.08	11.84	10.51	11.47	10.92	9.32	13.42	1.3
TCGA-B0-5694-01	tumor	TCGA-B0-5694	KIRC	8.95	7.97	6.85	11.3	10.08	10.53	9.83	8.66	11.65	6.5
TCGA-B0-5694-11	normal	TCGA-B0-5694	KIRC	9.99	7.74	6.76	11.53	10.38	11.49	10.71	9.47	13.06	3.84
TCGA-B0-5696-01	tumor	TCGA-B0-5696	KIRC	9.41	7.87	6.6	11.38	9.99	10.75	10.18	8.3	12.1	7.35
TCGA-B0-5696-11	normal	TCGA-B0-5696	KIRC	10.32	8.2	6.48	12.19	10.91	11.99	11.21	9.14	13.53	0
TCGA-B0-5697-01	tumor	TCGA-B0-5697	KIRC	9.02	7.11	6.95	11.33	9.93	10.81	10.43	8.83	11.72	7.36
TCGA-B0-5697-11	normal	TCGA-B0-5697	KIRC	10.88	8.11	6.95	12.07	10.92	11.96	11.04	9.28	13.32	1.01
TCGA-B0-5699-01	tumor	TCGA-B0-5699	KIRC	9.03	7.79	6.17	11.01	10.22	10.89	9.23	8.84	12.72	5.95
TCGA-B0-5699-11	normal	TCGA-B0-5699	KIRC	10.38	8.1	6.63	12.03	10.83	11.76	10.84	9.32	13.35	1.52
TCGA-B0-5701-01	tumor	TCGA-B0-5701	KIRC	9.44	7.44	7.09	11.8	10.15	10.65	9.67	8.43	12.29	6.32
TCGA-B0-5701-11	normal	TCGA-B0-5701	KIRC	9.47	7.37	7	11.76	10.74	11.8	10.71	9.22	12.41	0.44
TCGA-B0-5703-01	tumor	TCGA-B0-5703	KIRC	9.3	7.71	5.98	10.95	9.73	10.64	9.54	8.16	12.09	7.52
TCGA-B0-5703-11	normal	TCGA-B0-5703	KIRC	10.43	8.23	7.33	11.87	10.6	12.17	11.24	8.5	12.71	0.94
TCGA-B0-5705-01	tumor	TCGA-B0-5705	KIRC	8.95	7.93	7.13	11.22	10.11	10.61	10.32	9.21	12.67	6.56
TCGA-B0-5705-11	normal	TCGA-B0-5705	KIRC	10.06	8.23	6.97	12.13	10.99	12.2	11.05	9.26	12.85	1.27
TCGA-B0-5706-01	tumor	TCGA-B0-5706	KIRC	8.93	6.95	6.54	10.26	10.01	9.95	9.49	8.71	12.04	6.8
TCGA-B0-5706-11	normal	TCGA-B0-5706	KIRC	10.18	7.93	7.8	11.74	10.96	12.49	11.35	8.79	11.99	1.24
TCGA-B0-5709-01	tumor	TCGA-B0-5709	KIRC	8.43	7.11	6.71	10.93	10.09	10.16	9.65	9.1	12.17	5.92
TCGA-B0-5709-11	normal	TCGA-B0-5709	KIRC	10.49	8.36	7.11	11.99	10.6	11.7	11.14	9.1	13.41	1.39
TCGA-B0-5711-01	tumor	TCGA-B0-5711	KIRC	8.78	7.92	6.95	10.92	10.17	10.48	9.59	8.99	12.36	6.27
TCGA-B0-5711-11	normal	TCGA-B0-5711	KIRC	9.97	8.3	7.23	12.11	10.88	12.21	11.15	9.04	12.71	1.29
TCGA-B0-5712-01	tumor	TCGA-B0-5712	KIRC	9.74	8.17	7.15	11.49	10.17	11.58	10.84	8.74	13.25	7.48
TCGA-B0-5712-11	normal	TCGA-B0-5712	KIRC	9.51	7.53	6.87	11.19	9.98	11.37	10.63	9.28	12.48	1.9
TCGA-B2-5636-01	tumor	TCGA-B2-5636	KIRC	8.4	7.32	6.92	10.36	10.02	10.21	9.9	9.61	10.92	6.49
TCGA-B2-5636-11	normal	TCGA-B2-5636	KIRC	10.17	8.19	7.12	11.88	10.43	11.54	10.85	9.29	13.35	2.22
TCGA-B2-5641-01	tumor	TCGA-B2-5641	KIRC	8.57	7.98	6.83	11.07	9.96	10.83	9.53	9.36	12.08	7.62
TCGA-B2-5641-11	normal	TCGA-B2-5641	KIRC	9.63	7.49	6.87	11.61	10.77	11.98	10.77	9.35	12.74	1.19
TCGA-B8-4619-01	tumor	TCGA-B8-4619	KIRC	9.33	8.65	7.67	12.99	11.21	12.44	11.24	8.6	12.26	4.63
TCGA-B8-4619-11	normal	TCGA-B8-4619	KIRC	10.9	8.43	7.49	12.07	10.77	11.62	11.11	8.58	13.83	2.54
